,sentence,aspects_seed,pol
260,"the commercial origination team will consist of a diverse group of people who work as a single team which bring the required skills including commodity , capital , regulatory , asset , development , market , structuring , deal execution , finance and country knowledge necessary to reach our goals .",market,0
261,"by contrast , calpine does not want to use nepco , and they dont want our services or any material ongoing involvement - cleaner - .",services,-1
262,managers looking ahead to the summer of 2001 predicted last year that the state would be short of electricity by one-fifth of what it needs on those hottest afternoons when demand for power spikes upward .,electricity,-1
263,managers looking ahead to the summer of 2001 predicted last year that the state would be short of electricity by one-fifth of what it needs on those hottest afternoons when demand for power spikes upward .,power,0
264,"in the event of a low rain and snow period , the system must possess the flexibility to respond to the reduced availability of power supply .",system,0
265,we will determine capacity monday for the 18th gas day .,capacity,1
266,"dear mr skilling i have attached below , the details of our third annual private retreat on oil prices and investment which may be of interest to you .",interest,1
267,"in general , we try to avoid any type of personality/psych testing because of issues relating to the americans with disabilities act , which prohibits pre-employment medical testing .",issues,-1
268,i also wanted to get your views on enron 's approach to oil trading and whether the vitol group presented an opportunity .,opportunity,1
269,i also wanted to get your views on enron 's approach to oil trading and whether the vitol group presented an opportunity .,enron,1
270,"on friday , the ferc issued its order on complaint in connection with the july 10 complaint filed by morgan stanley capital group inc. - ms - .",order,-1
271,"below are a few points for your review : resume : currently the second most productive partner at diamond-cluster , a technology consulting firm .",review,1
272,"paul and mark , you should be able to get into the caminus system as outlined below , after you have been added to the user group .",mark,1
273,the turbines would stretch for 500 miles across three states and generate close to half the power of the grand coulee dam .,power,0
274,thank you for your review and comments .,review,1
275,"simply put , he meant that most consumers will not aggressively conserve power , and thus alleviate shortages , unless there is a financial incentive to do so .",power,1
276,feel free to send it to the headhunter who called you and/or to anyone you think might be interested at enron .,enron,1
277,"he also will share his perspective on how ets fits into enron 's plans for 2001 , as well as what initiatives and objectives are critical to ets ' success this year .",enron,1
278,"the answer is open access , so power can get from where it is to where it is needed .",power,0
279,"in addition , i am at your disposal at any time that?you or any others at enron should wish to meet with me . ?",enron,0
280,"for alliance policy news : www.ase.org/policy  http://www.ase.org/policy   eye openers energy efficiency facts even children can understand a vacant house at 55 fahrenheit uses more energy for heating than an occupied one at 68 fahrenheit , according to gpu energy .",policy,0
281,scott what 's important give solvency to the utilities by guaranteeing no banckruptcy against the generation assets of the utilities .,utilities,1
282,"of course , this issue may be completely outside the realm of those interests , and if so , i apologize for taking up your time .",issue,-1
283,"per my phone message , it will take about a week or two to prepare the amendment at a cost up to $ 10,000 us , and then eight weeks to get the amendment .",cost,0
284,"in the spirit of one enron , the performance review process - prc - will be global for mid-year 2000 .",review,0
285,"given the state 's environmental lobbying presence , it is doubtful that a nuclear plant could have been approved in california .",california,1
286,"sithe energies had made a decided effort to purchase vast generation assets in the northeastern united states , believing that there would be value in having critical mass in the deregulated generation market in that region .",value,1
287,willingness to comment on policy issues .,policy issues,0
288,"without giving up any rights or discouraging aes from pursuing pastoria , we are trying to position aes on lv and keep calpine 's value for pastoria close to their original bid .",value,1
289,"when california required its major utilities to buy power in the volatile spot market and simultaneously prohibited them from passing along higher costs to consumers , it set off a furious price spiral .",costs,-1
290,"when california required its major utilities to buy power in the volatile spot market and simultaneously prohibited them from passing along higher costs to consumers , it set off a furious price spiral .",california,-1
291,"when california required its major utilities to buy power in the volatile spot market and simultaneously prohibited them from passing along higher costs to consumers , it set off a furious price spiral .",utilities,0
292,"when california required its major utilities to buy power in the volatile spot market and simultaneously prohibited them from passing along higher costs to consumers , it set off a furious price spiral .",power,0
293,"part of the problem , from an associates perspective , stems from enron promising the moon and then falling short on delivery .",problem,-1
294,it 's the action you 'd expect a new chairman to take in order to get his arms around a big and possibly contentious issue .,issue,-1
295,it 's the action you 'd expect a new chairman to take in order to get his arms around a big and possibly contentious issue .,chairman,0
296,it 's the action you 'd expect a new chairman to take in order to get his arms around a big and possibly contentious issue .,order,0
297,the eagle line purchase by wisconsin gas saves guardian time and resources by taking away the need to build the 8.5-mile lateral and allows all three companies to create a better environment for competition in the natural gas marketplace .,companies,0
298,"you will have access to the secured part of the site by the end of the day , monday , august 26th .",access,1
299,"i wanted to advise you that ken has joined another board - ncube , corp. .",ken,-1
300,i know jeff will have all of our strong support as he expands his role .,support,1
301,"therefore , if the employee elects not to accept the position in houston his employment would be terminated on 01/02/02 and he would be scheduled to receive the current business reorganization severance .",position,0
302,"in preparation of the meeting , governor geringer has requested information on the following issues which i would like each of you to provide me by next tuesday , september 4th .",issues,-1
303,we will have a one enron presence on campus to provide clarity of message and purpose . ?,enron,1
304,establish a truly competitive retail electricity market  legislative vehicle : sb27x the only customers who were protected from price volatility in san diego were customers who chose direct access and signed fixed price deals with energy service providers .,electricity,0
305,establish a truly competitive retail electricity market  legislative vehicle : sb27x the only customers who were protected from price volatility in san diego were customers who chose direct access and signed fixed price deals with energy service providers .,energy,0
306,establish a truly competitive retail electricity market  legislative vehicle : sb27x the only customers who were protected from price volatility in san diego were customers who chose direct access and signed fixed price deals with energy service providers .,service,0
307,"i would suggest that the appropriate and accurate explanation is that capacity becomes available from time to time for a variety of reasons including contract expirations or terminations , waivers or expirations of rofr rights , and contract mdq stepdowns .",capacity,1
308,"as i am no longer working in the pr group , it would be best if you contact the chairman 's office directly to present the business case and request expense approval .",chairman,0
309,"mime-version : 1.0 content-type : text/plain  charsetus-ascii content-transfer-encoding : 7bit x-from : david w delainey x-to : li sun , kay chapman x-cc : x-bcc : x-folder :  daviddelaineyjun2001  notes folders  sent x-origin : delainey-d x-filename : ddelain.nsf kay , can you set up some time - perhaps in the new year for a lunch - my office should be fine .",delainey,0
310,i will then have my administrative assistant work your staff to arrange a mutually convenient time .,staff,0
311,"in turn , it is equally important to take this same approach when looking at enron , s future office space requirements .",enron,1
312,"george , i 'm sure i am way over simplifying this , but in light of current natural gas prices and the past success ena had building six natural gas power plants would n't the same template work for building coal fired power plants in the us ?",work,0
313,"george , i 'm sure i am way over simplifying this , but in light of current natural gas prices and the past success ena had building six natural gas power plants would n't the same template work for building coal fired power plants in the us ?",power,0
314,"i will finalize the agreement , so that the new document can go into effect on 1/1/01 .",agreement,1
315,"as a way to introduce our innovative new service , you will be able to view text transcripts for free .",service,1
316,ftse mixed picture but dealers and analysts said it would be a mixed picture going forward with the market scrutinising data for signs of a sustained economic recovery or a lapse in consumer confidence .,market,0
317,"i would add the following thoughts : first , i think that enron 's key position in terms of iso / rto governance should be that boards - or the leadership and staff of transmission providers - should be indifferent to the price at which the commodity trades .",position,0
318,"i would add the following thoughts : first , i think that enron 's key position in terms of iso / rto governance should be that boards - or the leadership and staff of transmission providers - should be indifferent to the price at which the commodity trades .",price,0
319,"i would add the following thoughts : first , i think that enron 's key position in terms of iso / rto governance should be that boards - or the leadership and staff of transmission providers - should be indifferent to the price at which the commodity trades .",enron,0
320,"i would add the following thoughts : first , i think that enron 's key position in terms of iso / rto governance should be that boards - or the leadership and staff of transmission providers - should be indifferent to the price at which the commodity trades .",staff,0
321,"my resignation is somewhat reluctant , as i 've always received excellent reviews and even won an ees power player award .",power,0
322,"it is not now , nor will it be in the future the audit department 's responsibility to ensure that corrective actions are taken as a result of the audit process .",future,-1
323,"the enviro 's boycotted , they want to draft a bill with keeley .",bill,0
324,at least one mill was reticent to discuss enron at all  still others seemed to meet the issue with unaffected shrugs .,issue,0
325,at least one mill was reticent to discuss enron at all  still others seemed to meet the issue with unaffected shrugs .,enron,-1
326,"as you may know , we are right now in the process of merging with iberdrola , the second spanish electric company .",process,1
327,"as you may know , we are right now in the process of merging with iberdrola , the second spanish electric company .",company,1
328,"without a clear regulatory bill opening the market to competition , investment is inhibited .",bill,-1
329,"without a clear regulatory bill opening the market to competition , investment is inhibited .",market,-1
330,"furthermore , the city has started talks with enron about building and operating a 750-megawatt natural gas-fired power plant that city officials expect will contribute to lower costs for the purchase of electricity .",electricity,0
331,"furthermore , the city has started talks with enron about building and operating a 750-megawatt natural gas-fired power plant that city officials expect will contribute to lower costs for the purchase of electricity .",costs,1
332,"furthermore , the city has started talks with enron about building and operating a 750-megawatt natural gas-fired power plant that city officials expect will contribute to lower costs for the purchase of electricity .",enron,0
333,this reporting format would also place emphasis on each commercial team 's coverage effectiveness or lack thereof .,team,0
334,"while it appears from the tapes that the parties had been close to an accord , eric thode , a spokesman for enron 's trading branch , says : at no time was there anything remotely resembling a deal with mr. euell .",deal,1
335,"while it appears from the tapes that the parties had been close to an accord , eric thode , a spokesman for enron 's trading branch , says : at no time was there anything remotely resembling a deal with mr. euell .",enron,1
336,this would allow us some certainty and ability to make longer-term commitments and also give the market some certainty about what load might be available when .,market,1
337,"in addition , the restructuring group , currently managed by dick lydecker , will report to brian redmond .",report,0
338,the idea of paying before tax npv10 % for an assumed 3.5 year program on top of the pd  pud reserves will require a more indepth review .,review,0
339,"the study was conducted by the institute on taxation and economic policy , a washington research organization associated with citizens for tax justice , a nonprofit group supported in part by labor unions .",policy,0
340,ken and linda will arrive in philadelphia tomorrow night .,ken,0
341,"i do n't know if you will be joining ken on this , but i did send you a copy of the report a couple of weeks ago .",report,0
342,"i do n't know if you will be joining ken on this , but i did send you a copy of the report a couple of weeks ago .",ken,0
343,all of your hard work paid off - you have a great list of offers .,work,1
344,at the moment he is the group managing director of europe 's largest telecoms support business which has a turnover in excess of ?,support,1
345,"if ferc was a tough enforcer , cleburne and a few other similar qf projects would rate high on their hit list and the past speaks well to the future in this case .",future,1
346,"your drinks will be colder this way , you will have a timely rest stop , and the local business will look forward to our return .",business,1
347,i see the 6x multiple of annualized q2 earnings as one of the best measures of the potential value of this company .,company,1
348,i see the 6x multiple of annualized q2 earnings as one of the best measures of the potential value of this company .,value,1
349,the question is more a matter of how many enron people they would like to have .,enron,1
350,"- but california regulators put price controls on electricity that lowered prices , and even californians were n't dumb enough to skip a bargain . -.",electricity,0
351,"- but california regulators put price controls on electricity that lowered prices , and even californians were n't dumb enough to skip a bargain . -.",prices,1
352,"- but california regulators put price controls on electricity that lowered prices , and even californians were n't dumb enough to skip a bargain . -.",california,-1
353,this needs to be an ena team effort .,team,1
354,steve and i are hoping to connect up with danny tomorrow afternoon and discuss both our fuel strategy and our index to index deal strategy .,deal,0
355,"nevertheless , i hope that we can find a way through this without significantly impairing value for ena .",value,1
356,"we are not getting great support from houston in many areas , with the exception of some like don miller/genco .",support,-1
357,"john has been an essential part of enron , s energy trading success over the 20 years and is a key part of enron wholesale services , continuing success story .",enron,1
358,"the actions are a far cry from the situation in january , when utility executives , power generators and lawmakers were loudly blaming davis for failing to recognize the power crisis and for not taking steps soon enough to get california on course for recovery .",california,0
359,"the actions are a far cry from the situation in january , when utility executives , power generators and lawmakers were loudly blaming davis for failing to recognize the power crisis and for not taking steps soon enough to get california on course for recovery .",power,-1
360,pst please put a confidential backgrounder re rod wright for lay and i. i 'll be joining he and ken for at least part of the discussion .,ken,1
361,"as i mentioned earlier , i am writing you because i truly feel you care about enron 's continued growth and success .",enron,1
362,high prices in the future could be held at bay with the in-state expansions and the cpuc?s recent approval of socal gas ?,prices,-1
363,high prices in the future could be held at bay with the in-state expansions and the cpuc?s recent approval of socal gas ?,future,-1
364,description of service kema consulting will assist the enron team to create a new fundamental analysis system by performing a concentrated review of the following areas : systems architecture middleware market interfaces data warehousing user interface this review will result in the creation of a systems requirements document and overall plan .,review,0
365,description of service kema consulting will assist the enron team to create a new fundamental analysis system by performing a concentrated review of the following areas : systems architecture middleware market interfaces data warehousing user interface this review will result in the creation of a systems requirements document and overall plan .,market,0
366,"while most of the probable recipients will be commercial officers , i would expect a number of senior support and some commercial directors also to be recommended .",support,1
367,"as a point of interest , according to data from the energy information administration , california 's fuel mix is primarily based in a mixture of natural gas - 45.59 percent - , hydro - 21.95 percent - , nuclear - 18.07 percent - , coal - 1.36 percent - , oil - 1.04 percent - , and other , presumably renewable ,sources - 11.98 percent - .",california,0
368,"as a point of interest , according to data from the energy information administration , california 's fuel mix is primarily based in a mixture of natural gas - 45.59 percent - , hydro - 21.95 percent - , nuclear - 18.07 percent - , coal - 1.36 percent - , oil - 1.04 percent - , and other , presumably renewable ,sources - 11.98 percent - .",interest,0
369,"also cites the dinner davis had with generators leading up to the crisis , where , the paper says , the generators warned him , but davis took the money and did nothing .",money,0
370,"in particular , did you have the opportunity to explore the metals concept ?",opportunity,0
371,"i would love to get together for lunch in the near future , though january is typically a tough month for me .",future,1
372,"many top gop leaders were eager to deregulate utilities when they took over congress in 1995 , seeing it as a test of a bedrock conservative principle : opening the marketplace to competition .",utilities,1
373,"lobby campaign to prevent budget cuts seeks help of 100,000 small firms the wall street journal , 03/07/01 plots  ploys the wall street journal , 03/07/01 dutch gas competition grows despite sluggish reforms dow jones energy service , 03/07/01 usa : big u.s. exporters to fight ex-im bank cuts - wsj .",energy,0
374,the e-mail message claims that a congressman schnell has introduced bill 602p to allow the federal government to impose a 5-cent surcharge on each e-mail message delivered over the internet .,bill,0
375,"escondido calls a halt to power plant ideas temporary step will give it time for overall planning by jonathan heller union-tribune staff writer april 19 , 2001 escondido  after being inundated with proposals to build power plants in the past few months , the city council yesterday called a timeout .",staff,0
376,"the announcement is a signal that fitch , too , may downgrade its ratings on california 's nearly $ 30 billion in public debt , a move which could cost taxpayers millions .",california,-1
377,"i feel this is an opportunity for hr to really make a difference / contribute /  have a strong impact , in assuring our employees we are taking active measures to ensure their safety  want to address their feelings .",opportunity,1
378,"if enron brings integrity to both sides of this market , he concluded , that would be a very big plus for the steel industry .",market,1
379,we have too many people in transition to just switch over to the policy committee at this stage .,policy committee,-1
380,"seventh , in your table of converged companies , you could be asked about the fact that duke has already disposed of the pipeline assets it acquired in the panenergy deal - since sold to cms - , apparently keeping only the trading business .",companies,1
381,the high tech industry requires market driven solutions to reliability and pricing not the old style command and control regulated monopoly approach .,market,1
382,"consulting services agreement hi michelle , i received the two executable copies of the csa between enron and kds communications .",services,0
383,"consulting services agreement hi michelle , i received the two executable copies of the csa between enron and kds communications .",agreement,0
384,"currently , we have a window of opportunity open to immediately initiate necessary engineering work .",opportunity,1
385,"after discussion with the tw admin team , it would seem appropriate that the deal capture team administer the ferc report at this time .",deal,0
386,we should represent to potential buyers that we have an interconnect agreement with northern border and have been accessing supply out of the chicago spot market .,agreement,1
387,"believe it or not , we 're working these exact issues right now .",issues,-1
388,i am also new to the industry and unfamiliar with most external factors affecting the current situation regarding the sell of natural gas to california .,california,0
389,jack raudy of the renewable energy creditors committee said the puc needs to address the $ 700 million the producers are owed .,energy,0
390,"however , i would be happy to add his team to the list of parties with which i discuss a potential sales transaction .",team,1
391,"kathy cash , reporter for mcgraw hill , called wanting steve 's comments on the regional market/policy info released by ferc today .",market\/policy info,0
392,jackie gentle has made me the point of contact in the pr department for this issue .,issue,-1
393,"the lack of finality to the deals raises questions about the state 's success in covering its power needs , particularly going into what is expected to be an unusually tight summer .",power,0
394,i got a list of places from lisa also : benjy 's - on dunstan by ballys - raven grill - bissonett - goode company seafood sierra grill floridita seafood grill - the place on kirby/richmond - tony mandola 's seafood river oaks any of these sound good to us .,company,1
395,i got a list of places from lisa also : benjy 's - on dunstan by ballys - raven grill - bissonett - goode company seafood sierra grill floridita seafood grill - the place on kirby/richmond - tony mandola 's seafood river oaks any of these sound good to us .,place,1
396,if possible i would ask that you secure approval from delainey with regards to the renewal of this item .,delainey,1
397,"and 2 they are very rigorous in their evaluation of investments and they have a guy named bruce - i do n't have his last name - who is interesting to talk to about markets , investments etc and i think he is smarter than the average bear .",markets,0
398,"the department of water resources , which has been buying electricity for the state 's two beleaguered utilities since mid-january , would n't spell out what it considers ridiculous .",electricity,-1
399,oci has an agreement with forida maint .,agreement,1
400,"karate studio gets hit karate master scott morton , whose karate one studio on van ness avenue is also a creditor , said karate is all about fairness and integrity , which pg  e seems to be even shorter on than cash .",cash,-1
401,the buyout is aimed to restore the utilities to solvency and help them restructure nearly $ 13 billion in undercollected power costs the companies have amassed during 2000 .,companies,-1
402,the buyout is aimed to restore the utilities to solvency and help them restructure nearly $ 13 billion in undercollected power costs the companies have amassed during 2000 .,utilities,-1
403,the buyout is aimed to restore the utilities to solvency and help them restructure nearly $ 13 billion in undercollected power costs the companies have amassed during 2000 .,power,0
404,enron vice president kevin presto said that day-ahead sales to customers such as municipal utilities in southern 's territory have become possible .,president,1
405,enron vice president kevin presto said that day-ahead sales to customers such as municipal utilities in southern 's territory have become possible .,customers,1
406,enron vice president kevin presto said that day-ahead sales to customers such as municipal utilities in southern 's territory have become possible .,utilities,1
407,enron vice president kevin presto said that day-ahead sales to customers such as municipal utilities in southern 's territory have become possible .,enron,1
408,enron is featured prominently in the pamphlet as a great example of a growth story .,enron,1
409,the utility is allowed to add power-delivery and other reasonable costs to that commodity price .,costs,-1
410,we want your business !,business,1
411,"and as parker and barrett might tell you , they are inheriting a devilishly simple playbook : keep costs down .",costs,-1
412,"so far , the state has spent nearly $ 2 billion buying electricity on behalf of the utilities , according to the department of finance , which informed the legislature on thursday that it will release another $ 500 million for electricity purchases .",utilities,-1
413,the spokeswoman added that joseph sutton remains vice chairman with duties focused on enron 's operations .,enron,0
414,i appreciate all of your support and look forward to our further successes with amp 's .,support,1
415,"at last , power alerts are lifted : enjoy respite because crisis far from resolved , experts say by carrie peyton bee staff writer - published feb. 23 , 2001 - as oddly as it arrived , california 's electric emergency lifted thursday morning .",california,1
416,"at last , power alerts are lifted : enjoy respite because crisis far from resolved , experts say by carrie peyton bee staff writer - published feb. 23 , 2001 - as oddly as it arrived , california 's electric emergency lifted thursday morning .",power,1
417,"at last , power alerts are lifted : enjoy respite because crisis far from resolved , experts say by carrie peyton bee staff writer - published feb. 23 , 2001 - as oddly as it arrived , california 's electric emergency lifted thursday morning .",staff,0
418,blackwill had dinner last night with watson and connelly of opic and claims he is on top of the issue .,issue,0
419,"she is interested in having someone from enron on the panel , which is scheduled for july 16th in seattle .",enron,1
420,i suggest this next meeting take place as a conference call at one of the following times .,place,0
421,"head , energy and environment division international energy agency 75739 paris cedex 15 france tel : - 33-1 - 40 57 67 20 fax : - 33-1 - 40 57 67 39 e-mail : jonathan.pershing@iea.org  oecd attachment we will be writing to you shortly concerning the final title and time of your session , and how the session will be conducted .",energy,0
422,"in just two years , our global conference has become a significant and influential gathering for discussion , debate and networking on key business , economic , financial and policy questions .",policy,0
423,"in just two years , our global conference has become a significant and influential gathering for discussion , debate and networking on key business , economic , financial and policy questions .",business,0
424,"risk management/settlements wants this balanced , as we can not tie out with our customers .",customers,1
425,"within two months and upon receiving final regulatory approvals , the company will begin construction on 1,000 megawatts at its moss landing facility .",company,0
426,"the more often we can aggressively drive media coverage and send signals in the press , especially in dc , that this is orderly business as usual with no need for outside intervention , the more likely we are to avoid legislative action .",business,1
427,"there will be subsequent sessions on retail issues , market structure and other related issues in the future .",future,-1
428,we will investigate the filing with socal as to the status of addressing these issues .,issues,-1
429,"los angeles built an arena with almost no public money , and dallas ' expensive project had substantially less public than private money involved .",money,0
430,joe is a big fan of enron 's and could see the logic of a more robust product like the full energy outsourcing versus just a steam agreement .,energy,1
431,joe is a big fan of enron 's and could see the logic of a more robust product like the full energy outsourcing versus just a steam agreement .,enron,1
432,president bush was wrong to grant an extension of executive orders requiring out-of-state utilities to supply power to california .,california,0
433,president bush was wrong to grant an extension of executive orders requiring out-of-state utilities to supply power to california .,utilities,-1
434,president bush was wrong to grant an extension of executive orders requiring out-of-state utilities to supply power to california .,power,0
435,"long term , competing facilities - pipelines , refineries , transmission lines , power plants - will be fighting for customers .",customers,1
436,"upon agreement on the metrics , i would like issue these reports on a monthly basis .",issue,0
437,"upon agreement on the metrics , i would like issue these reports on a monthly basis .",agreement,0
438,"thanks , sylvia hu corporate and law information services x36775 come discover lexis-nexis and it , s vast collection of information on cyberlaw and telecommunications learn how to monitor the latest cases and legislation in these emerging are as of law .",services,0
439,"in addition , the high desert plant is consistent with a national trend that supports natural gas as the fuel of choice for new power plant development projects .",development,1
440,"pst lindy , we are meeting on tues at 10:00 in 1336 to discuss how tw may handle a storage point on our system with respect to how we contract for this point - given that contracts will want to receive and deliver to this point on a firm basis - as well as how we schedule gas at this point .",contracts,0
441,"pst lindy , we are meeting on tues at 10:00 in 1336 to discuss how tw may handle a storage point on our system with respect to how we contract for this point - given that contracts will want to receive and deliver to this point on a firm basis - as well as how we schedule gas at this point .",system,0
442,a downtown arena would help complete the renaissance of the area and would put money into the public coffers .,money,1
443,"thus , with a little luck , we will be back in the game on this project with an induced delay .",project,1
444,pst paul krugman has made frequent negative references to enron and its management in his new york times column over the last twelve months .,enron,-1
445,staff was open to what we had to say but we have little confidence our recommendations will move forward with the bill .,bill,-1
446,staff was open to what we had to say but we have little confidence our recommendations will move forward with the bill .,staff,1
447,edf is also aware that its monopoly prevents it from easily entering the energy services market  leading edf to promote a relatively rapid total opening of the french market .,services,1
448,"cc tri-state power peak in progress - clc - 0normal , 1peak - a power peak is currently in progress - galp .7901 .",power,-1
449,"thus , please consider this e : mail as formal notice of my intention to resign from the company , effective close of business june 16 , 2001 .",company,-1
450,"thus , please consider this e : mail as formal notice of my intention to resign from the company , effective close of business june 16 , 2001 .",business,0
451,"these changes will affect many ebs employees through relocation , redeployment , severance or movement to another part of enron .",changes,-1
452,"these changes will affect many ebs employees through relocation , redeployment , severance or movement to another part of enron .",enron,-1
453,"modeled after a format that members david and anne grizzle and danguole spakevicius and william altman have been enjoying for years , the harvard forum will provide an opportunity for an extended conversation with fellow club members .",opportunity,1
454,we 'd have a tough time justifying use of a significantly different mechanism - even though the actual rate in the subsequent deal might be a lot different due to interest rate movement - .,deal,-1
455,"by peter g. gosselin , times staff writer wintersburg , ariz.  for more than a century , california ran a simple account with the rest of the west : it demanded and the west supplied , most especially water and power .",california,0
456,"by peter g. gosselin , times staff writer wintersburg , ariz.  for more than a century , california ran a simple account with the rest of the west : it demanded and the west supplied , most especially water and power .",power,0
457,"by peter g. gosselin , times staff writer wintersburg , ariz.  for more than a century , california ran a simple account with the rest of the west : it demanded and the west supplied , most especially water and power .",staff,0
458,the enron corporate policy committee introduces expertfinder .,policy,0
459,the enron corporate policy committee introduces expertfinder .,enron,0
460,"steve and mark , a good friend of mine works for mr. grimes at stewart  stevenson .",mark,0
461,"aes and ivo-tomen tendered new capacity tendered in 1999 , but aes is now bringing mvm to arbitration over its failure to sign its agreed-on ppa .",capacity,0
462,"greg characklis is most knowledgeable about both the issues and the politics , so he can provide briefing/guidance for both my replacement and kathleen magruder 's replacement .",issues,0
463,"the initial list of speakers included the governor of california and the governor of pennsylvania , although i am not sure if they are coming .",california,0
464,"this type of deal happens frequently - it is usually driven by the third party having better credit , transmission access or a complementary service .",deal,1
465,"this type of deal happens frequently - it is usually driven by the third party having better credit , transmission access or a complementary service .",service,1
466,i have been asked to help doug gilbert-smith get ercot off of the ground as far as services and hourly trading is concerned .,services,-1
467,"i am not sure that ken 's schedule could accomadate that , but i thought i would ask .",ken,-1
468,"a desirable way to kick off settlement discussions would be to ask ken to have lunch with the head of uc , charlie reed of csu , and perhaps one business lead - in this case , this could be me - .",ken,0
469,i met with mark frevert yesterday afternoon to discuss the east generation strategy - along with ben jacoby and don miller - and he wanted me to talk with larry izzo about us taking all 4 turbines .,generation,0
470,"as always , thanks for the opportunity to make suggestions like this .",opportunity,1
471,"salary well below market - base salary and value of options/bonus - - even if they bring us up to the 2001 offers - which are rumored to be under market - , we have 1 year or more experience with the class coming in and will be paid the same amount ?",market,0
472,"salary well below market - base salary and value of options/bonus - - even if they bring us up to the 2001 offers - which are rumored to be under market - , we have 1 year or more experience with the class coming in and will be paid the same amount ?",value,-1
473,"they are promising a 21-day permit application approval process and are offering to pay half of the cost of offsets , for clean sources of generation in critical areas .",generation,0
474,"they are promising a 21-day permit application approval process and are offering to pay half of the cost of offsets , for clean sources of generation in critical areas .",cost,0
475,"before you add capacity , before you make an investment decision , you 'll be able to see a three , five , maybe even a 10-year forward price of steel , mcma hon stated , and if you want to hedge that investment you can do that .",price,0
476,"before you add capacity , before you make an investment decision , you 'll be able to see a three , five , maybe even a 10-year forward price of steel , mcma hon stated , and if you want to hedge that investment you can do that .",capacity,0
477,"attached is a short memo addressing our current company procedures and policies for trading , the new s.e.c. rule , and some suggestions for alternatives that you may want to consider concerning your personal trades in enron corp. common stock .",policies,0
478,my guess is that it is either eogr - i know they are pursuing an int ' l deal - or just a bad release .,deal,-1
479,chairman 's award - roundtable review jeff i am facilitating the 2000 chairman 's award process and am presently arranging a time to present the selection committee 's recommendations to the office of the chairman .,review,0
480,an iea report suggested two major swift changes to the energy sector structure .,changes,-1
481,an arena built with less public than private money in such a small market would be something worth bragging about .,money,1
482,an arena built with less public than private money in such a small market would be something worth bragging about .,market,1
483,"companies large and small who have similar interests here are banding together to provide an educational effort so people understand the impact of this , said chris hansen , boeing senior vice president for government relations .",companies,1
484,"once he has had a chance to review it , we will contact you to let you know his level of interest and to set up follow-on discussions if appropriate .",interest,0
485,this agreement is about to expire and we are currently closing the transaction to purchase the land .,agreement,-1
486,the travel agent did n't feel we would have any problem finding a bb along the way .,problem,0
487,"he reveals , in depth , his ignorance of enron , the people who work here , and the tragically botched california regulatory regime .",california,-1
488,"he reveals , in depth , his ignorance of enron , the people who work here , and the tragically botched california regulatory regime .",enron,0
489,"as senior vice president for public and environmental and government affairs , he does sound like the ideal contact with whom to discuss professor moomaw 's program and its students .",program,0
490,"staff received numerous complaints  however , due to the lack of information available from tps , staff can not conclude whether these are isolated incidents or wide-spread .",staff,-1
491,"then moritz suter , the airline division chief bailed out , and then 9 of the company , s 10 supervisory board members quit , including chairman and interim ceo eric honegger .",chairman,-1
492,we have a great program planned for this year 's conference .,program,1
493,does anyone have biographical information on herve jouanjean ??? andrew buxton who heads the european services network will be here for meetings with csi and isacs this week and also in nyc with csi and japaneese counterparts .,services,0
494,"i am sure there are people at enron close to senator domenici and he is the one who will be making the call , so i would be interested in knowing what you and steve think .",enron,0
495,"hi jeff , i was trying to get a copy of the expense report of swanswalk - the company we set up to buy the house in rio - and i discovered that unfortunately my copy is in the boxes i sent to london from brazil and they still have not cleared customs in the u.k. .",company,0
496,"at least one federal energy regulatory commissioner , who spoke on the condition of anonymity , said the wholesale electricity market in california will be in for a rude awakening when the agency completes its investigation .",energy,0
497,"at least one federal energy regulatory commissioner , who spoke on the condition of anonymity , said the wholesale electricity market in california will be in for a rude awakening when the agency completes its investigation .",california,-1
498,thank you for your support .,support,1
499,"a lot of people see an opportunity to rewrite the fundamental relationship with california to their advantage , said stanford historian richard white .",opportunity,0
500,"a lot of people see an opportunity to rewrite the fundamental relationship with california to their advantage , said stanford historian richard white .",california,0
501,"he said he returned the money , as did nine other assembly members , at the urging of the consumer advocacy group global exchange .",money,0
502,"while simon likely would be spending plenty of his own money on a governor 's bid , he 's working to get outside support , both political and financial , before committing to the race , russo said .",money,0
503,"while simon likely would be spending plenty of his own money on a governor 's bid , he 's working to get outside support , both political and financial , before committing to the race , russo said .",support,0
504,"we saw the summer of 2001 coming like a freight train , said brian theaker , manager of reliability contracts at cal-iso .",contracts,0
505,"enron will also handle all of the scheduling , sampling , and back office support .",support,1
506,"enron will also handle all of the scheduling , sampling , and back office support .",enron,1
507,a backwardation is a pricing structure in which deliveries to be made in the near future are more expensive then those set for a more distant delivery .,future,-1
508,i would appreciate the opportunity to review them .,opportunity,1
509,"rick - fyi - , elizabeth informed me about a report she 's been administering regarding all tw deliveries to california .",california,0
510,"correct : enron vice chairman baxter to remain chief strategy 10/18/2000 dow jones news service - copyright - c - 2000 , dow jones  company , inc. - enron corp. - ene - named j. clifford baxter , the chief strategy officer , vice chairman .",enron,0
511,his company and eight others signed contracts last fall with the california independent system operator .,contracts,0
512,his company and eight others signed contracts last fall with the california independent system operator .,company,0
513,his company and eight others signed contracts last fall with the california independent system operator .,system,0
514,thank you for the opportunity .,opportunity,1
